status,cz_title,en_title,year,episode_count,categories,sample_video_id,sample_url,sample_title,reason,closest_db_match
in_db,Lucifer - Soucit s bohyní,,,1,serialy-cz-sk,49772,https://online.sktorrent.eu/video/49772/lucifer-soucit-s-bohyní-s02e17,Lucifer - Soucit s bohyní (S02E17),hard:1/1 eps already linked,
in_db,"Lucifer - Dobré, špatné a křehké",,,1,serialy-cz-sk,49771,https://online.sktorrent.eu/video/49771/lucifer-dobré-špatné-a-křehké-s02e18,"Lucifer - Dobré, špatné a křehké (S02E18)",hard:1/1 eps already linked,
in_db,Lucifer - Malý zrádný parazit,,,1,serialy-cz-sk,49770,https://online.sktorrent.eu/video/49770/lucifer-malý-zrádný-parazit-s02e15,Lucifer - Malý zrádný parazit (S02E15),hard:1/1 eps already linked,
in_db,Lucifer - Bůh Johnson,,,1,serialy-cz-sk,49769,https://online.sktorrent.eu/video/49769/lucifer-bůh-johnson-s02e16,Lucifer - Bůh Johnson (S02E16),hard:1/1 eps already linked,
in_db,Lucifer - Candy Morningstar,,,1,serialy-cz-sk,49768,https://online.sktorrent.eu/video/49768/lucifer-candy-morningstar-s02e14,Lucifer - Candy Morningstar (S02E14),hard:1/1 eps already linked,
in_db,Lucifer - Madla lásky,,,1,serialy-cz-sk,49767,https://online.sktorrent.eu/video/49767/lucifer-madla-lásky-s02e12,Lucifer - Madla lásky (S02E12),hard:1/1 eps already linked,
in_db,Lucifer - Den dobrý k umírání,,,1,serialy-cz-sk,49766,https://online.sktorrent.eu/video/49766/lucifer-den-dobrý-k-umírání-s02e13,Lucifer - Den dobrý k umírání (S02E13),hard:1/1 eps already linked,
in_db,Lucifer - Stevardka Interruptus,,,1,serialy-cz-sk,49765,https://online.sktorrent.eu/video/49765/lucifer-stevardka-interruptus-s02e11,Lucifer - Stevardka Interruptus (S02E11),hard:1/1 eps already linked,
in_db,Lucifer - Quid Pro Ho,,,1,serialy-cz-sk,49762,https://online.sktorrent.eu/video/49762/lucifer-quid-pro-ho-s02e10,Lucifer - Quid Pro Ho (S02E10),hard:1/1 eps already linked,
in_db,Lucifer - Výlet do města nožů,,,1,serialy-cz-sk,49761,https://online.sktorrent.eu/video/49761/lucifer-výlet-do-města-nožů-s02e08,Lucifer - Výlet do města nožů (S02E08),hard:1/1 eps already linked,
